Location2,Change
Ahmadnagar,12.44
Bid,19.61
Latur,17.97
Osmanabad,11.50
Solapur,12.16
Satara,6.93
Ratnagiri,-4.82
Sindhudurg,-2.21
Kolhapur,10.01
Sangli,9.24
Belgaum ,13.41
Bagalkot  ,14.40
Bijapur  ,20.50
Bidar ,13.37
Raichur,15.51
Koppal ,16.21
Gadag ,9.54
Dharwad ,15.13
Uttara Kannada,6.17
Haveri,11.02
Bellary ,20.99
Chitradurga,9.33
Davanagere ,8.63
Shimoga ,6.71
Udupi ,5.85
Chikmagalur,-0.26
Tumkur ,3.65
Bangalore  ,21.94
Mandya  ,7.56
Hassan  ,13.32
Dakshina Kannada  ,11.22
Kodagu ,60.52
Mysore  ,4.65
Chamarajanagar ,29.23
Gulbarga  ,18.01
Yadgir  ,22.81
Kolar  ,10.77
Chikkaballapura ,9.23
Bangalore Rural ,16.45
Ramanagara  ,5.05
North Goa,7.84
South Goa,8.73
Lakshadweep,6.30
Kasaragod,8.58
 Kannur,4.73
Wayanad,4.71
Kozhikode,7.20
Malappuram,13.45
Palakkad,7.35
Thrissur,4.94
Ernakulam,5.69
Idukki,-1.79
Kottayam,1.07
Alappuzha,0.88
Pathanamthitta,-2.97
Kollam,1.94
Thiruvananthapuram,2.07
Nicobars,-12.42
North & Middle Andaman,-0.02
South Andaman,14.23
Thiruvallur,35.33
Chennai,6.98
Kancheepuram,38.95
Vellore,13.20
Tiruvannamalai,12.75
Viluppuram,16.84
Salem,15.44
Namakkal,15.61
Erode,11.66
The Nilgiris,-3.51
Dindigul,12.31
Karur,13.77
Tiruchirappalli,12.57
Perambalur,14.50
Ariyalur,8.54
Cuddalore,14.02
Nagapattinam,8.57
Thiruvarur,8.11
Thanjavur,8.56
Pudukkottai,10.88
Sivaganga,15.90
Madurai,17.84
Theni,13.89
Virudhunagar,10.91
Ramanathapuram,13.96
Thoothukkudi,9.88
Tirunelveli,13.82
Kanniyakumari,11.60
Dharmapuri,16.34
Krishnagiri,20.41
Tiruppur,29.11
Adilabad,10.18
Nizamabad,8.77
Karimnagar,8.15
Medak,13.60
Hyderabad,2.97
Rangareddy,48.16
Mahbubnagar,15.34
Nalgonda,7.41
Warangal,-20.55
khammam,8.47
Srikakulam,6.52
Vizianagaram,4.23
Visakhapatnam,11.96
East Godavari,5.16
West Godavari,3.51
Krishna,7.87
Guntur,9.47
Prakasam,11.05
Sri Potti Sriramulu Nellore,11.05
Y.S.R.,10.79
Kurnool,14.85
Anantapur,12.10
Chittoor,11.43
Yanam,77.19
Puducherry,29.23
Mahe,13.54
Karaikal,17.23
North District,6.53
West District,10.69
South District,11.65
East District,15.73
Tawang,28.40
West Kameng,12.53
East Kameng,37.62
Papum Pare,44.73
Upper Subansiri,50.78
West Siang,8.04
East Siang,13.52
Upper Siang,5.87
Changlang,18.18
Tirap,11.61
Lower Subansiri,49.00
Kurung Kumey,116.56
Dibang Valley,10.07
Lower Dibang Valley,7.20
Lohit,16.59
Anjaw,14.19
West Tripura,12.57
South Tripura,14.55
Dhalai,21.77
North Tripura,17.44
Sheopur,22.94
Morena,23.44
Bhind,19.21
Gwalior,24.50
Datia,18.46
Shivpuri,22.76
Tikamgarh,20.13
Chhatarpur,19.51
Panna,18.67
Sagar,17.63
Damoh,16.63
Satna,19.19
Rewa,19.86
Umaria,24.96
Neemuch,13.77
Mandsaur,13.24
Ratlam,19.72
Ujjain,16.12
Shajapur,17.20
Dewas,19.53
Dhar,25.60
Indore,32.88
Khargone (West Nimar),22.85
Barwani,27.57
Rajgarh,23.26
Vidisha,20.09
Bhopal,28.62
Sehore,21.54
Raisen,18.35
Betul,12.92
Harda,20.25
Hoshangabad,14.49
Katni,21.41
Jabalpur,14.51
Narshimhapur,14.01
Dindori,21.32
Mandla,17.97
Chhindwara,13.07
Seoni,18.22
Balaghat,13.60
Guna,26.97
Ashoknagar,22.66
Shahdol,17.39
Anuppur,12.30
Sidhi,23.72
Singrauli,28.05
Jhabua,30.70
Alirajpur,19.45
Khandwa (East Nimar),21.50
Burhanpur,19.37
